GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Donaciones,com.donaton.donaciones.controller,DonacionController,6,16,0,0,1,3,1,2,1,2
Donaciones,com.donaton.donaciones.service,DonacionService,1,125,1,5,0,32,1,6,0,4
Donaciones,com.donaton.donaciones.filter,LoggingFilter,0,33,0,0,0,8,0,3,0,3
Donaciones,com.donaton.donaciones,DonacionesApplication,5,3,0,0,2,1,1,1,1,1
Donaciones,com.donaton.donaciones.entity,SaludDonacionFactory,24,0,0,0,8,0,2,0,2,0
Donaciones,com.donaton.donaciones.entity,Donacion,4,0,0,0,2,0,1,0,1,0
Donaciones,com.donaton.donaciones.entity,AlimentoDonacionFactory,24,0,0,0,8,0,2,0,2,0
Donaciones,com.donaton.donaciones.entity,RopaDonacionFactory,24,0,0,0,8,0,2,0,2,0
Donaciones,com.donaton.donaciones.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Donaciones,com.donaton.donaciones.exception,GlobalExceptionHandler,117,3,2,0,21,1,4,1,3,1
